Driver,Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,AverageSpeed,AvgSpeedGap,Year,GrandPrix
HAM,0 days 01:21:58.755276595,201.68085106382978,222.9787234042553,304.4255319148936,311.27659574468083,260.0904255319149,1.417150225660862,2019,Azerbaijan Grand Prix
VET,0 days 01:21:43.618979591,204.14285714285714,213.85714285714286,311.3673469387755,310.0612244897959,259.85714285714283,1.650432900432918,2019,Azerbaijan Grand Prix
BOT,0 days 01:22:35.219166666,204.8125,221.0,303.8958333333333,308.2708333333333,259.49479166666663,2.012784090909122,2019,Azerbaijan Grand Prix
STR,0 days 01:23:41.362456521,195.17391304347825,207.19565217391303,316.17391304347825,317.0869565217391,258.90760869565213,2.5999670619236213,2019,Azerbaijan Grand Prix
RAI,0 days 01:20:54.019042553,195.59574468085106,210.6595744680851,316.82978723404256,311.4255319148936,258.62765957446805,2.879916183107696,2019,Azerbaijan Grand Prix
PER,0 days 01:21:57.387940,198.34,211.62,312.34,311.18,258.37,3.137575757575746,2019,Azerbaijan Grand Prix
GIO,0 days 01:22:07.382173913,191.34782608695653,203.58695652173913,321.80434782608694,315.7608695652174,258.125,3.3825757575757507,2019,Azerbaijan Grand Prix
NOR,0 days 01:21:28.776833333,193.58333333333334,209.25,315.3333333333333,311.7708333333333,257.484375,4.023200757575751,2019,Azerbaijan Grand Prix
KVY,0 days 01:05:01.689548387,192.61290322580646,205.74193548387098,316.0967741935484,313.96774193548384,257.10483870967744,4.402737047898313,2019,Azerbaijan Grand Prix
GRO,0 days 01:09:00.266514285,189.65714285714284,205.62857142857143,317.6,313.48571428571427,256.59285714285716,4.914718614718595,2019,Azerbaijan Grand Prix
MAG,0 days 01:22:14.121622222,192.51111111111112,206.17777777777778,314.9555555555556,312.15555555555557,256.45,5.057575757575762,2019,Azerbaijan Grand Prix
ALB,0 days 01:22:06.883125,189.35416666666666,205.85416666666666,317.2291666666667,312.5416666666667,256.2447916666667,5.262784090909065,2019,Azerbaijan Grand Prix
RIC,0 days 01:02:50.789931034,192.24137931034483,203.58620689655172,314.1034482758621,314.8965517241379,256.2068965517241,5.3006792058516226,2019,Azerbaijan Grand Prix
SAI,0 days 01:21:20.099489361,190.68085106382978,205.82978723404256,315.7659574468085,311.06382978723406,255.83510638297872,5.6724693745970285,2019,Azerbaijan Grand Prix
RUS,0 days 01:20:08.272522727,193.5,207.79545454545453,305.1363636363636,306.15909090909093,253.14772727272725,8.359848484848499,2019,Azerbaijan Grand Prix
